,World,World,World,USA,USA,USA,India,India,India,Brazil,Brazil,Brazil,Russia,Russia,Russia,Colombia,Colombia,Colombia,Peru,Peru,Peru,Chile,Chile,Chile,Germany,Germany,Germany
,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily,Data,Prediction,Daily
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,80398,,,15,,,3,,,,,,2,,,,,,,,,2,,,17,,
2020-02-26,81375,,,15,,,3,,,1,,,2,,,,,,,,,2,,,27,,
2020-02-27,82735,,,16,,,3,,,1,,,2,,,,,,,,,2,,,46,,
2020-02-28,84120,,,16,,,3,,,1,,,2,,,,,,,,,2,,,48,,
2020-02-29,86013,,,24,,,3,,,2,,,2,,,,,,,,,2,,,79,,
2020-03-01,88395,,,30,,,3,,,2,,,2,,,,,,,,,9,,,130,,
2020-03-02,90372,,,52,,,5,,,2,,,3,,,,,,,,,9,,,159,,
2020-03-03,92957,,,72,,,5,,,2,,,3,,,,,,,,,10,,,196,,
2020-03-04,95272,,,103,,,28,,,4,,,3,,,,,,,,,10,,,262,,
2020-03-05,98028,,,172,,,30,,,4,,,4,,,,,,,,,13,,,482,,
2020-03-06,102018,,,215,,,31,,,13,,,13,,,1,,,1,,,13,,,670,,
2020-03-07,106036,,,337,,,34,,,13,,,13,,,1,,,1,,,13,,,799,,
2020-03-08,109993,,,450,,,39,,,20,,,17,,,1,,,6,,,20,,,1040,,
2020-03-09,113946,,,515,,,43,,,25,,,17,,,1,,,7,,,20,,,1176,,
2020-03-10,118967,,,713,,,56,,,31,,,20,,,3,,,11,,,25,,,1457,,
2020-03-11,126675,,,1105,,,62,,,38,,,20,,,9,,,11,,,35,,,1908,,
2020-03-12,132450,,,1530,,,73,,,52,,,28,,,9,,,15,,,35,,,2078,,
2020-03-13,146783,,,2115,,,82,,,151,,,45,,,13,,,28,,,55,,,3675,,
2020-03-14,157801,,,2814,,,102,,,151,,,59,,,22,,,38,,,88,,,4585,,
2020-03-15,169032,,,2986,,,113,,,162,,,63,,,34,,,43,,,101,,,5795,,
2020-03-16,183677,,,4354,,,119,,,200,,,90,,,57,,,86,,,182,,,7272,,
2020-03-17,199391,,,5970,,,142,,,321,,,114,,,75,,,117,,,228,,,9257,,
2020-03-18,218683,,,8386,,,156,,,372,,,147,,,102,,,145,,,265,,,12327,,
2020-03-19,245633,,,12674,,,194,,,621,,,199,,,108,,,234,,,265,,,15320,,
2020-03-20,275963,,,18736,,,244,,,793,,,253,,,158,,,234,,,461,,,19848,,
2020-03-21,307709,,,24508,,,330,,,1021,,,306,,,196,,,318,,,592,,,22213,,
2020-03-22,341784,,,33152,,,396,,,1546,,,367,,,231,,,363,,,687,,,24873,,
2020-03-23,384630,,,43850,,,499,,,1924,,,438,,,277,,,395,,,801,,,29056,,
2020-03-24,425787,,,54112,,,536,,,2247,,,495,,,378,,,416,,,977,,,32986,,
2020-03-25,476680,,,66055,,,657,,,2554,,,658,,,470,,,480,,,1197,,,37323,,
2020-03-26,539069,,,83611,,,727,,,2985,,,840,,,491,,,580,,,1361,,,43938,,
2020-03-27,603910,,,102101,,,887,,,3417,,,1036,,,539,,,635,,,1665,,,50871,,
2020-03-28,671653,,,122059,,,987,,,3904,,,1264,,,608,,,671,,,2015,,,57695,,
2020-03-29,731267,,,141205,,,1024,,,4256,,,1534,,,702,,,852,,,2245,,,62095,,
2020-03-30,795997,,,162707,,,1251,,,4579,,,1836,,,798,,,950,,,2555,,,66885,,
2020-03-31,872495,,,188744,,,1397,,,5717,,,2337,,,906,,,1065,,,2844,,,71808,,
